github_url,architecture,continuous_integration,community,documentation,history,license,management,repository_size,unit_test,stars,class
https://github.com/praetorius/demo1,0.000000,0,1,0.000000,0.000000,0,0.000000,9,0.000000,0,notproject
https://github.com/manuelblanch/ebreescool,0.258621,0,1,0.187587,0.000000,1,0.000000,18762,0.000000,0,notproject
https://github.com/Jorgtre/Cpp,0.750000,0,1,0.096292,0.000000,0,0.000000,1633,0.000000,0,notproject
https://github.com/mmcguinn/PoolVisor,1.000000,0,1,0.055085,0.000000,1,0.000000,894,0.041427,0,notproject
https://github.com/nogrudge/first_app,0.391304,0,1,0.492063,0.000000,0,0.000000,272,0.086420,0,notproject
https://github.com/AlexandreAbraham/movements,0.666667,0,2,0.154440,1.833333,1,0.333333,660,0.000000,0,notproject
https://github.com/thiendv/GSO,0.910714,0,5,0.116529,25.000000,1,0.000000,6740,0.000000,0,notproject
https://github.com/PaulStoffregen/k72memtest,0.000000,0,1,0.090465,0.000000,0,0.000000,374,0.000000,0,notproject
https://github.com/zwgirl/summer,0.959554,0,1,0.255464,10.500000,1,0.000000,571116,0.000035,0,notproject
https://github.com/crisguitar/ProjectEulerProblems,0.523810,0,1,0.012712,0.000000,0,0.000000,933,0.503597,0,notproject
https://github.com/rikikun/SpringExample,0.333333,0,1,0.181452,0.000000,0,0.000000,206,0.000000,0,notproject
https://github.com/xieyilong/test,0.600000,0,1,0.273543,0.000000,0,0.000000,162,0.000000,0,notproject
https://github.com/valerie7869/sample_app4,0.360000,0,1,0.384615,0.000000,0,0.000000,542,0.095238,0,notproject
https://github.com/gastitan/Criaturas,0.833333,0,3,0.013575,0.000000,0,0.000000,221,0.000000,0,notproject
https://github.com/robertbachmann/openbsd-libcrypto,0.275862,0,5,0.169397,11.545455,1,0.000000,4321,0.000000,2,notproject
https://github.com/nicolasfaure/evaluacion,1.000000,0,1,0.025237,0.000000,0,0.000000,309,0.251969,0,notproject
https://github.com/Youngs285/Chapter5Problems,0.125000,0,1,0.225352,0.000000,0,0.000000,330,0.000000,0,notproject
